campaign,total_ltv
Search,15461050
US_Android_AppInstall_626736721594,3806100
US_iOS_AppInstall_626736745865,3332000
US_iOS_170419,2868150
CA_Android_AppInstall_626737633194,2023300
US_iOS_170426,1785400
US_Android_170508,1669850
CA_iOS_AppInstall_626736745866,1572250
SE_Android_170508,1551750
NO_Android_170508,1416050
DE_Android_170508,1398900
NO_iOS_170501,997200
AU_iOS_AppInstall_626737552315,974500
GB_iOS_AppInstall_626736745864,933250
GB_iOS_170425,833250
SE_iOS_170427,712550
RU_iOS_170301,681250
GB_Android_AppInstall_626737633193,609500
RU_iOS_170509_AppEventOpt,591550
FR_iOS_170425,456700
US_iOS_170418_AppEventOpt,449750
RU_Android_170519,427800
AU_iOS_170425,367950
CH_Android_170515,321650
FR_iOS_170509,315050
DK_Android_170509,268650
SE_iOS_170420_AppEventOpt,181600
SE_iOS_170401,119200
FR_Android_170530,113400
NZ_iOS_AppInstall_626737552314,104050
NO_iOS_170420_AppEventOpt,85800
FR_iOS_170529,77700
NZ_Android_AppInstall_626737564399,71750
AU_Android_170515,71400
US_iOS_170519_AppEventOpt,70850
CH_Android_170519_french,65800
DK_iOS_170501,65450
DK_iOS_170427_AppEventOpt,57800
GB_Android_170515,57050
DE_iOS_170425,52650
NO_iOS_170301,42150
DK_iOS_170420_AppEventOpt,40400
CH_iOS_170425,37950
US_Android_Pint_AppInstall_626736721594,36500
AU_iOS_170426,33250
US_iOS_Pint_AppInstall_626736745865,32000
NZ_iOS_170425,31550
US_iOS_170529_AppEventOpt,30500
NO_iOS_170401,30250
DK_iOS_170401,27300
NO_iOS_170601,18300
CA_Android_Pint_AppInstall_626737633194,11000
SE_iOS_170601,10400
DK_iOS_170601,8750
GB_iOS_Pint_AppInstall_626736745864,4200
CA_iOS_Pint_AppInstall_626736745866,3850
US_iOS_KW_Weightloss_January Sugar_626736658564,1350
FR_iOS_170420_AppEventOpt,1050
CA_iOS_170420_AppEventOpt,1050
US_iOS_KW_Heathy Recipes_Toast_626736614388,750
AU_iOS_Pint_AppInstall_626737552315,700
GB_iOS_Install_KW_Weightloss_January Sugar_626736658568,700
GB_iOS_KW_Health Fitness_January Water_626736658581,700
US_iOS_KW_Healthy Recipes_January Salad_626736658546,700
CA_iOS_Int_Health Fitness_KetoDietNew_626736710139,500
US_iOS_Install_KW_Healthy Recipes_January Salad_626736658570,500
US_iOS_KW_Healthy Recipes_SmoothieBowls_626736725518,500
GB_iOS_KW_Health Fitness_LowCarb_626736614390,350
IE_iOS_AppInstall_626737592454,350
GB_iOS_KW_Health Fitness_Plans Black_626736561766,350
GB_iOS_Install_KW_Healthy Recipes_January Vegetarian_626736658562,350
GB_iOS_KW_Weightloss_ Plans Pink Burger_626736561789,350
US_iOS_Install_KW_Weightloss_January Sugar_626736658540,350
US_iOS_KW_Weightloss_Broccoli_626736725519,350
US_iOS_Install_KW_Health Fitness_January Water_626736658551,350
